HomeTeam,url_name
Sydney Swans,sydney-swans
Brisbane Lions,brisbane-lions
Gold Coast Suns,gold-coast-suns
GWS Giants,greater-western-sydney-giants
Carlton,carlton-blues
Collingwood,collingwood-magpies
Essendon,essendon-bombers
Geelong Cats,geelong-cats
Melbourne,melbourne-demons
Port Adelaide,port-adelaide-power
Fremantle,fremantle-dockers
St Kilda,st-kilda-saints
Adelaide Crows,adelaide-crows
North Melbourne,kangaroos
Hawthorn,hawthorn-hawks
Western Bulldogs,western-bulldogs
Richmond,richmond-tigers
West Coast Eagles,west-coast-eagles